Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Afore Capital,https://afore.vc,"237 Kearny St, Ste 9225, San Francisco, CA 94108, United States",,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Pre-Seed and Seed rounds in companies fundamentally augmenting how the future of society will operate. We are anti-thematic by design and hyperfocused on accelerating the 0-to-1 journey.,VC,$1000000,$2000000
African Frontier Capital (Mauritius),https://africanfrontiercapital.com/,,,,,Other,,
AfterDox,http://www.afterdox.com/,,,,,Angel network,,
AG Capital,http://www.nf-partners.co.jp/,,Japan,,,Corporate VC,,
Agate Medical Investments,http://www.agate-invest.com/,,,"5. Growth,6. Pre-IPO",,VC,,
Agent Capital,https://www.agentcapital.com/,,,"3. Early Revenue,4. Scaling",,VC,,
AgFunder,https://agfunder.com/,USA,USA,3. Early Revenue,,VC,,
Aggie Angels,http://aggieangelnetwork.com/,,,,,Angel network,,
Agilent Technologies,https://www.agilent.com/,,USA,,,Corporate VC,,
Agility Ventures,https://www.agility.com/en/agility-ventures/,"Singapore, Central Region, Singapore",Singapore,,,Corporate VC,,
Aglae Ventures by Groupe Arnault,http://aglaeventures.com/,"22 Avenue Montaigne, Paris, Île-de-France 75008, France","France,USA,Israel,Canada","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in asset light and well-defined business models with high potential for scalability : 
- Marketplaces 
- Software (SaaS)
- Content platforms : social networks, communication platform, streaming
- Dev & App tools 
- Digital native brands ",Corporate VC,$100000,$100000000
Aglaia Oncology Fund,https://aglaia-oncology.com/,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Agoranov,https://www.agoranov.com/,,France,,,Other,,
AgriTech Hubs,http://agritechhub.com/,Poland,Poland,2. Prototype,,VC,,
Agroecology Capital,http://agroecologycapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Agronomics,https://agronomics.im/,UK,UK,3. Early Revenue,,VC,,
AgTech Innovation Partners,http://www.agtechinnovation.com/,,,,,VC,,
Ahren Innovation Capital,http://www.ahreninnovationcapital.com/,UK,"USA,UK","2. Prototype,3. Early Revenue",,VC,,
AI Seed Fund,https://aiseed.vc/,UK,UK,2. Prototype,,VC,,
AI2 Allen Institute for Artificial Intelligence Incubator,https://www.ai2incubator.com/,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,
AI8 Ventures,https://www.ai8ventures.com/,,,,,VC,,
AiiM Partners,https://www.aiimpartners.com/,,,,,Other,,
Air Liquide Venture Capital ALIAD,https://www.airliquide.com/fr/groupe/aliad-venture-capital,France,"USA,France","3. Early Revenue,4. Scaling",,Corporate VC,$1000000,
Air Street Capital,https://www.airstreet.com/,UK,"USA,UK",2. Prototype,,VC,$150000,
Airbridge Equity Partners,https://airbridge.nl/,"Amstelplein 48, Amsterdam, Noord-Holland 1096BE, The Netherlands",Netherlands,3. Early Revenue,"We invest in companies that have proven their commercial traction with locked-in revenue. We provide growth capital as well as replacements and have the ability to service a cap table over time.
Our ticket size varies from EUR 1m - 5m initially with the ability to stay active over time.

As an Amsterdam-based investment firm, we support firms with their HQ and a significant portion of their operations in Europe, regardless of whether they end up venturing outside of it.

We especially focus on companies with competitively defensible positions in B2B or B2C value chains in growing markets with a long-term outlook.",VC,$1200000,$6000000
Airbus Ventures,https://airbusventures.vc/,"Blagnac, Midi-Pyrenees, France","Israel,USA,Canada,France","3. Early Revenue,4. Scaling",,Corporate VC,$1000000,
Ajinomoto,https://www.ajinomoto.com/?scid=pr_ot_pc_cojphead_global,,Japan,,,Corporate VC,,
Akatsuki,https://en.aktsk.jp/,,Japan,,,Corporate VC,,
Akkadian Ventures,https://www.akkadianventures.com/,,,,,VC,,
Akula Energy Ventures,http://www.akulaenergy.com/,,,,,VC,,
Alabaster,https://www.alabaster.com/,USA,"Israel,USA,Canada,Australia,Japan","2. Prototype,3. Early Revenue",,VC,,
Alamo Angels,http://alamoangels.com/,,,,,Angel network,,
Alante Capital,https://www.alantecapital.com/,,,,,VC,,
Alaya Capital Partners,https://alaya-capital.com/,,,,,VC,,
Albion Capital,https://www.albion.capital/,,,,,VC,,
AlbionVC,https://www.albion.vc/,UK,"USA,UK",3. Early Revenue,,VC,,
Album VC,https://www.album.vc/,,,"2. Prototype,3. Early Revenue",,VC,,
Alchemist Accelerator,http://www.alchemistaccelerator.com/,,,"2. Prototype,3. Early Revenue",,VC,,
Alchemy Ventures,http://www.alchemventures.com.au,Australia,Australia,,,VC,,
Alderley Park Ventures,https://biocity.co.uk/investment/,UK,UK,3. Early Revenue,,VC,,
Aletra Capital Partners,https://aletracapitalpartners.com/,"Leemzeulder 14, 1251 AP Laren, Netherlands","Singapore,Netherlands,Canada,USA","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B enterprise/software/medtech companies. The venture should have initial revenue/product market fit (ARR> USD 1Mln) and the potential to scale globally.,VC,$250000,$2500000
Alexandria Venture,https://www.are.com/venture-investments.html,"San Francisco, California, United States","Israel,USA,Canada",3. Early Revenue,,Corporate VC,,
Alfabeat,https://alfabeat.com/,"Norwida 4, 80-280 Gdańsk, Poland","Poland,Estonia,Latvia,Lithuania,Czech Republic,Slovakia,Hungary,Croatia,Romania,Bulgaria,Slovenia",3. Early Revenue,"We invest in seed Enterprise Software companies from Central and Eastern Europe  with a proven track-record of helping founders raise subsequent rounds, backed by successful Enterprise Software founders who built companies worth over $50B.",VC,$250000,$1000000
Alfvén & Didrikson,https://www.alfvendidrikson.com/,Sweden,"Sweden,Norway,Finland,Denmark",,,VC,,
Algebra Ventures,https://algebraventures.com/,Egypt,Egypt,3. Early Revenue,,VC,,
Alibaba Capital Partners,https://www.alibabacapital.com/project/index.htm,"Hangzhou, Zhejiang, China",China,,,Corporate VC,,
Aligned Partners,http://www.alignedvc.com/,,,,,VC,,
Alinda Capital Partners,http://www.alinda.com,"Greenwich, Connecticut, United States",USA,,,Family office,,
Alium Capital,https://aliumcap.com/,Australia,Australia,,,Other,$2000000,
ALIVE Acumen Latam Impact Ventures,https://alive-ventures.com/,,,,,Other,,
ALIVE Israel Healthtech Fund,http://www.alivevc.com/,,,"5. Growth,6. Pre-IPO",,VC,,
All Blue Capital,https://www.allbluecapital.com/,"Shepherd Market, London, Mayfair W1J7JY, GB","Canada,USA,UK,Ireland,Japan,China","3. Early Revenue,5. Growth,6. Pre-IPO","We invest in founders first. We search out great people, in emerging sectors who have disruptive ideas.",VC,$500000,$100000000
Allectus Capital,https://www.allectuscapital.limited/,"7-19 Bridge St, Sydney, NSW 2000, Australia","Australia,UK",,"We invest in Fintech, Deep Tech, Digital Health, AI & Automation.

We are normally one of the first investors to commit capital in our high conviction portfolio companies.

 

However, we invest across the capital spectrum in early, mid or late stage and across a variety of funding sizes from small to very large.

 

Our initial cheque is normally between US$0.3-$3m and we will look to support portfolio companies with further investment where they have gained relevant traction and additional guidance is beneficial.",VC,$300000,$3000000
Allegro Capital,http://www.allegro-capital.com/,,,,,VC,,
Alliance Entreprendre,https://www.allianceentreprendre.com/en/,,France,"3. Early Revenue,4. Scaling",,VC,$1000000,
Alliance of Angels,http://www.allianceofangels.com/,,,,,Angel network,,
Alliance of Texas Angel Networks,http://www.allianceoftexasangelnetworks.com/,,,,,Angel network,,
Alliance Venture,https://allianceventure.com/,Parkveien 41B N-0258 Oslo Norway,"Norway,USA",,,Other,,
Alliance Ventures,https://www.alliance-2022.com/ventures/,"Amsterdam, Noord-Holland, The Netherlands","USA,Israel,Canada,Netherlands,France",3. Early Revenue,,Corporate VC,$5000000,
Allianz X,https://www.allianzx.com/,"München, Bayern, Germany","USA,Israel,Canada,Germany",3. Early Revenue,,Corporate VC,,
Allison Wood Ventures,http://allisonwoodventures.com,,,,,Corporate VC,,
Allos Ventures,http://www.allosventures.com,,,,,VC,,
Alloy Ventures,http://www.alloyventures.com/,"Palo Alto, California, United States",USA,3. Early Revenue,,VC,$500000,
AllVentures,http://allventures.net/,,,,,Angel network,,
Ally Bridge Group,http://www.ally-bridge.com/,,Hong Kong,,,VC,,
Almanac Investments,https://www.almanacinsights.com/,,,,,VC,,
Almaz Capital,https://www.almazcapital.com/,USA,USA,3. Early Revenue,,VC,,
